Zone 1 Decay Concentrations:
Constituent             Avg Mass     Fraction in Level 1
Level 1    Isotope    [amu/atom]        Mass        Atom
           sr-88         87.9056   2.363e-09   2.395e-09
           sr-89         88.9075   5.181e-10   5.193e-10
           sr-90         89.9077   2.800e-09   2.775e-09
           y-91          90.9073   6.742e-10   6.609e-10
           zr-92         91.9050   2.688e-09   2.606e-09
           zr-93         92.9065   2.732e-09   2.621e-09
           zr-94         93.9063   2.561e-09   2.430e-09
           zr-95         94.9080   6.776e-10   6.363e-10
           zr-96         95.9083   2.084e-09   1.936e-09
           mo-97         96.9060   1.961e-09   1.803e-09
           mo-98         97.9054   1.684e-09   1.533e-09
           xe-132       131.9042   3.152e-09   2.130e-09
           cs-133       132.9055   4.251e-09   2.850e-09
           xe-134       133.9054   5.673e-09   3.776e-09
           cs-135       134.9060   4.591e-09   3.033e-09
           xe-136       135.9072   6.500e-09   4.263e-09
           cs-137       136.9071   5.586e-09   3.636e-09
           ba-138       137.9052   5.856e-09   3.784e-09
           la-139       138.9064   6.241e-09   4.004e-09
           ce-140       139.9054   6.683e-09   4.257e-09
           ce-141       140.9083   5.457e-10   3.451e-10
           pr-141       140.9077   6.198e-09   3.920e-09
           ce-142       141.9092   6.168e-09   3.874e-09
           nd-143       142.9098   6.007e-09   3.746e-09
           ce-144       143.9136   4.383e-09   2.714e-09
           nd-145       144.9126   3.924e-09   2.413e-09
           nd-146       145.9131   3.453e-09   2.109e-09
Decay03z                 89.1204   1.000e+00   1.000e+00


Zone 4 Decay Concentrations:
Constituent             Avg Mass     Fraction in Level 1
Level 1    Isotope    [amu/atom]        Mass        Atom
           h-1            1.0078   3.671e-11   3.246e-09
           he-4           4.0026   1.042e-06   2.319e-05
           be-9           9.0122   1.040e-08   1.028e-07
           c-12          12.0000   7.286e-02   5.411e-01
           c-13          13.0034   9.253e-04   6.341e-03
           mg-25         24.9858   1.043e-08   3.720e-08
           al-27         26.9815   1.920e-09   6.342e-09
           si-28         27.9769   3.178e-02   1.012e-01
           si-29         28.9765   1.732e-03   5.326e-03
           si-30         29.9738   1.223e-03   3.636e-03
           p-31          30.9738   7.833e-10   2.254e-09
           th-230       230.0331   3.483e-07   1.349e-07
           th-232       232.0381   8.914e-01   3.423e-01
           pa-231       231.0359   3.866e-06   1.491e-06
           pa-233       233.0402   2.864e-06   1.095e-06
           u-233        233.0396   1.010e-04   3.861e-05
           u-234        234.0410   2.341e-08   8.915e-09
           kr-83         82.9141   1.361e-09   1.463e-09
           kr-84         83.9115   2.315e-09   2.459e-09
           rb-85         84.9118   2.515e-09   2.639e-09
           kr-86         85.9106   4.422e-09   4.587e-09
           rb-87         86.9092   4.673e-09   4.791e-09
           sr-88         87.9056   5.191e-09   5.263e-09
           sr-89         88.9075   1.145e-09   1.148e-09
           y-89          88.9058   4.684e-09   4.695e-09
           sr-90         89.9077   6.178e-09   6.124e-09
           y-91          90.9073   1.493e-09   1.463e-09
           zr-91         90.9056   4.558e-09   4.469e-09
           zr-92         91.9050   5.952e-09   5.771e-09
           zr-93         92.9065   6.072e-09   5.825e-09
           zr-94         93.9063   5.743e-09   5.450e-09
           zr-95         94.9080   1.509e-09   1.417e-09
           zr-96         95.9083   4.631e-09   4.303e-09
           mo-97         96.9060   4.355e-09   4.005e-09
           mo-98         97.9054   3.746e-09   3.410e-09
           tc-99         98.9063   3.152e-09   2.840e-09
           mo-100        99.9075   2.383e-09   2.126e-09
           ru-101       100.9056   1.767e-09   1.561e-09
           te-130       129.9062   3.808e-09   2.612e-09
           xe-131       130.9051   5.188e-09   3.532e-09
           xe-132       131.9042   7.158e-09   4.836e-09
           cs-133       132.9055   9.629e-09   6.456e-09
           xe-134       133.9054   1.285e-08   8.552e-09
           cs-135       134.9060   9.817e-09   6.485e-09
           xe-136       135.9072   1.515e-08   9.936e-09
           cs-137       136.9071   1.251e-08   8.146e-09
           ba-138       137.9052   1.303e-08   8.420e-09
           la-139       138.9064   1.382e-08   8.865e-09
           ba-140       139.9106   2.680e-11   1.707e-11
           ce-140       139.9054   1.473e-08   9.381e-09
           ce-141       140.9083   1.209e-09   7.644e-10
           pr-141       140.9077   1.372e-08   8.678e-09
           ce-142       141.9092   1.370e-08   8.603e-09
           pr-143       142.9108   3.905e-11   2.435e-11
           nd-143       142.9098   1.326e-08   8.272e-09
           ce-144       143.9136   9.434e-09   5.842e-09
           nd-145       144.9126   8.426e-09   5.182e-09
           nd-146       145.9131   7.430e-09   4.538e-09
           pm-147       146.9151   4.908e-09   2.977e-09
           nd-148       147.9169   3.418e-09   2.059e-09
Decay04z                 89.1171   1.000e+00   1.000e+00


Zone 5 Decay Concentrations:
Constituent             Avg Mass     Fraction in Level 1
